hidden_dim,n_layer,lookback_periods,batch_size,time
8,1,1,16,52.39371871948242
8,1,1,32,27.487786531448364
8,1,1,64,21.77920365333557
8,1,1,128,13.195234060287476
8,1,3,16,189.89859819412231
8,1,3,32,98.90844321250916
8,1,3,64,54.740548610687256
8,1,3,128,31.976470947265625
8,1,5,16,305.62748646736145
8,1,5,32,159.00067567825317
8,1,5,64,93.11840629577637
8,1,5,128,55.53982377052307
8,1,7,16,429.0506525039673
8,1,7,32,225.91669750213623
8,1,7,64,129.38569021224976
8,1,7,128,78.94630122184753
8,2,1,16,93.9478268623352
8,2,1,32,48.78859233856201
8,2,1,64,37.276293992996216
8,2,1,128,22.3323016166687
8,2,3,16,361.685097694397
8,2,3,32,189.8089964389801
8,2,3,64,109.28472423553467
8,2,3,128,61.529022216796875
8,2,5,16,627.5052185058594
8,2,5,32,317.4809145927429
8,2,5,64,192.85261416435242
8,2,5,128,116.46776485443115
8,2,7,16,858.2349543571472
8,2,7,32,449.7873361110687
8,2,7,64,267.1791226863861
8,2,7,128,149.24122023582458
8,4,1,16,181.01582598686218
8,4,1,32,92.97032928466797
8,4,1,64,72.71048212051392
8,4,1,128,42.84237360954285
8,4,3,16,738.0897619724274
8,4,3,32,393.1852967739105
8,4,3,64,214.94145250320435
8,4,3,128,128.0342800617218
8,4,5,16,1240.1454286575317
8,4,5,32,635.4886100292206
8,4,5,64,359.21555948257446
8,4,5,128,210.57434630393982
8,4,7,16,1756.8488373756409
8,4,7,32,931.720351934433
8,4,7,64,496.26968336105347
8,4,7,128,307.8808608055115
8,8,1,16,359.7767388820648
8,8,1,32,187.18534064292908
8,8,1,64,145.8893518447876
8,8,1,128,83.81481623649597
8,8,3,16,1477.9558396339417
8,8,3,32,777.4724652767181
8,8,3,64,418.85068345069885
8,8,3,128,242.46646332740784
8,8,5,16,2463.363326072693
8,8,5,32,1303.0668971538544
8,8,5,64,711.3744797706604
8,8,5,128,418.92163825035095
8,8,7,16,3454.590307235718
8,8,7,32,1819.6093389987946
8,8,7,64,1006.9865636825562
8,8,7,128,625.9675340652466
16,1,1,16,51.06541705131531
16,1,1,32,37.510666370391846
16,1,1,64,21.346900701522827
16,1,1,128,13.52283000946045
16,1,3,16,186.73453044891357
16,1,3,32,100.53509330749512
16,1,3,64,56.45300054550171
16,1,3,128,37.38400840759277
16,1,5,16,309.5164155960083
16,1,5,32,168.32680106163025
16,1,5,64,96.23447799682617
16,1,5,128,67.4142861366272
16,1,7,16,428.5588867664337
16,1,7,32,278.27629947662354
16,1,7,64,168.19585037231445
16,1,7,128,135.08514833450317
16,2,1,16,179.16007494926453
16,2,1,32,90.10303330421448
16,2,1,64,52.98125505447388
16,2,1,128,31.2862811088562
16,2,3,16,393.94338512420654
16,2,3,32,201.8985240459442
16,2,3,64,120.61901998519897
16,2,3,128,79.32492208480835
16,2,5,16,642.3049795627594
16,2,5,32,338.9780602455139
16,2,5,64,196.50539326667786
16,2,5,128,124.08542323112488
16,2,7,16,879.9350848197937
16,2,7,32,487.84155917167664
16,2,7,64,274.9091477394104
16,2,7,128,180.65260076522827
16,4,1,16,262.25765228271484
16,4,1,32,141.03875708580017
16,4,1,64,78.89210534095764
16,4,1,128,50.71672344207764
16,4,3,16,756.456146478653
16,4,3,32,404.14918851852417
16,4,3,64,226.55333352088928
16,4,3,128,147.69007897377014
16,4,5,16,1263.4177997112274
16,4,5,32,673.7216358184814
16,4,5,64,390.5429513454437
16,4,5,128,240.80392241477966
16,4,7,16,1764.5999147891998
16,4,7,32,949.87056183815
16,4,7,64,569.9025402069092
16,4,7,128,353.0219976902008
16,8,1,16,526.4394564628601
16,8,1,32,281.2217719554901
16,8,1,64,156.91324186325073
16,8,1,128,96.57637977600098
16,8,3,16,1528.502824306488
16,8,3,32,809.2621111869812
16,8,3,64,450.53576612472534
16,8,3,128,294.70796728134155
16,8,5,16,2531.5405666828156
16,8,5,32,1356.7599935531616
16,8,5,64,773.9722816944122
16,8,5,128,495.42075848579407
16,8,7,16,3576.327104330063
16,8,7,32,1888.221482038498
16,8,7,64,1123.0471305847168
16,8,7,128,731.8062653541565
32,1,1,16,76.64129090309143
32,1,1,32,42.47048902511597
32,1,1,64,25.952552318572998
32,1,1,128,19.641574382781982
32,1,3,16,203.57030606269836
32,1,3,32,114.41512966156006
32,1,3,64,76.09135007858276
32,1,3,128,54.78422975540161
32,1,5,16,339.6089246273041
32,1,5,32,196.77707242965698
32,1,5,64,124.03520369529724
32,1,5,128,92.77180361747742
32,1,7,16,479.08187198638916
32,1,7,32,285.462349653244
32,1,7,64,181.0295331478119
32,1,7,128,134.00074172019958
32,2,1,16,144.68998789787292
32,2,1,32,80.49569249153137
32,2,1,64,48.98198342323303
32,2,1,128,37.540586709976196
32,2,3,16,406.12172627449036
32,2,3,32,227.78572869300842
32,2,3,64,150.85991978645325
32,2,3,128,107.00977516174316
32,2,5,16,675.3790798187256
32,2,5,32,395.4846525192261
32,2,5,64,241.1734652519226
32,2,5,128,183.91738390922546
32,2,7,16,949.8058743476868
32,2,7,32,553.2149147987366
32,2,7,64,351.6985833644867
32,2,7,128,258.68202114105225
32,4,1,16,285.99273920059204
32,4,1,32,158.74904322624207
32,4,1,64,97.17604637145996
32,4,1,128,72.99888586997986
32,4,3,16,816.8469972610474
32,4,3,32,457.92241621017456
32,4,3,64,292.40132999420166
32,4,3,128,217.6787452697754
32,4,5,16,1355.1996335983276
32,4,5,32,776.625529050827
32,4,5,64,492.1488034725189
32,4,5,128,367.75079131126404
32,4,7,16,1889.1497819423676
32,4,7,32,1097.6953587532043
32,4,7,64,694.894953250885
32,4,7,128,537.7636156082153
32,8,1,16,575.7440268993378
32,8,1,32,319.49470591545105
32,8,1,64,192.09416246414185
32,8,1,128,144.00881218910217
32,8,3,16,1642.2269613742828
32,8,3,32,913.4726898670197
32,8,3,64,582.3713014125824
32,8,3,128,446.2052049636841
32,8,5,16,2715.2274181842804
32,8,5,32,1773.5594782829285
32,8,5,64,1143.1511478424072
32,8,5,128,852.5513832569122
32,8,7,16,4244.073437213898
32,8,7,32,2553.430302143097
32,8,7,64,1527.4181997776031
32,8,7,128,1172.345717906952
64,1,1,16,92.21860647201538
64,1,1,32,55.9774284362793
64,1,1,64,39.63297986984253
64,1,1,128,30.33618140220642
64,1,3,16,252.3941740989685
64,1,3,32,164.93655490875244
64,1,3,64,115.82680821418762
64,1,3,128,88.61571097373962
64,1,5,16,451.6359910964966
64,1,5,32,273.4663004875183
64,1,5,64,192.48781418800354
64,1,5,128,154.8731689453125
64,1,7,16,599.6999664306641
64,1,7,32,374.3856554031372
64,1,7,64,258.90649032592773
64,1,7,128,202.05595898628235
64,2,1,16,165.41349506378174
64,2,1,32,102.06635451316833
64,2,1,64,72.1429991722107
64,2,1,128,55.10490703582764
64,2,3,16,462.472323179245
64,2,3,32,307.63256072998047
64,2,3,64,210.89487290382385
64,2,3,128,168.80667638778687
64,2,5,16,800.5179119110107
64,2,5,32,514.2696335315704
64,2,5,64,352.51403069496155
64,2,5,128,272.86852645874023
64,2,7,16,1123.3969345092773
64,2,7,32,736.506628036499
64,2,7,64,506.8210816383362
64,2,7,128,411.6561028957367
64,4,1,16,328.9970152378082
64,4,1,32,204.14592862129211
64,4,1,64,142.9565944671631
64,4,1,128,109.09615707397461
64,4,3,16,939.4352474212646
64,4,3,32,619.6775176525116
64,4,3,64,422.68941354751587
64,4,3,128,339.5508978366852
64,4,5,16,1602.1810643672943
64,4,5,32,1021.8651556968689
64,4,5,64,742.6298186779022
64,4,5,128,567.5792782306671
64,4,7,16,2277.259628534317
64,4,7,32,1550.0752453804016
64,4,7,64,1074.5538296699524
64,4,7,128,899.2966961860657
64,8,1,16,725.2892234325409
64,8,1,32,428.13789224624634
64,8,1,64,306.39256834983826
64,8,1,128,250.21570301055908
64,8,3,16,2047.002110004425
64,8,3,32,1281.7072701454163
64,8,3,64,866.9689824581146
64,8,3,128,686.898115158081
64,8,5,16,3256.3781595230103
64,8,5,32,2107.448051214218
64,8,5,64,1511.213922739029
64,8,5,128,1219.2629432678223
64,8,7,16,4523.998393297195
64,8,7,32,3023.102644920349
64,8,7,64,2117.7565326690674
64,8,7,128,1830.9904251098633
