year,month,day,hour,doy,index,tto,tts,psi,LST_Day_1km,Emis_31,Emis_32
2019,1,1,11,1,11.0,43.0,70.16297172224102,124.54221934942561,-12.349999999999966,0.986,0.984
2019,1,2,10,2,34.0,-37.0,73.55433955441232,190.44136799037648,-11.349999999999966,0.994,0.99
2019,1,4,12,4,84.0,64.0,68.96736224137796,118.21194477617985,0.03000000000002956,0.98,0.98
2019,1,13,12,13,300.0,61.0,67.79910198741601,121.12029064896171,-7.529999999999973,0.98,0.98
2019,1,19,11,19,443.0,29.0,67.73962368419835,137.82996740796904,-15.409999999999968,0.984,0.984
2019,1,21,11,21,491.0,11.0,67.34817353694214,155.71086152578863,-16.289999999999964,0.986,0.986
2019,2,9,11,40,947.0,48.0,62.57130217401742,117.16021518970328,-20.149999999999977,0.992,0.99
2019,2,13,11,44,1043.0,20.0,61.35242222413149,144.73401064402296,-9.169999999999959,0.994,0.99
2019,2,22,11,53,1259.0,11.0,58.39638092107828,152.64402656266867,-4.92999999999995,0.994,0.99
2019,2,28,10,59,1402.0,-44.0,60.764785660115805,190.21092048736833,-9.989999999999952,0.984,0.984
2019,3,1,11,60,1427.0,21.0,55.93151167538122,141.66953694297666,-6.849999999999966,0.992,0.988
2019,3,3,11,62,1475.0,1.0,55.20649105070555,161.37070024124958,-17.98999999999998,0.992,0.99
2019,3,12,11,71,1691.0,-10.0,51.863217883141346,170.9146223997993,1.8900000000000432,0.994,0.99
2019,3,17,11,76,1811.0,21.0,49.97034704354931,139.02835081268523,-1.009999999999991,0.994,0.99
2019,3,21,10,80,1906.0,-19.0,53.620281211875515,160.12285768665177,3.250000000000057,0.992,0.99
2019,3,22,11,81,1931.0,43.0,48.07057442490838,116.08869652790622,0.03000000000002956,0.992,0.99
2019,3,23,10,82,1954.0,-37.0,52.93426891348284,177.58117553450404,4.4500000000000455,0.984,0.984
2019,3,24,11,83,1979.0,29.0,47.31200117601854,129.69835918438915,0.05000000000001137,0.994,0.99
2019,3,25,12,84,2004.0,64.0,44.92098171332934,115.24314793714939,1.6100000000000136,0.992,0.99
2019,3,29,11,88,2099.0,49.0,45.427029002461204,108.68784914732001,2.0500000000000114,0.99,0.988
2019,4,4,11,94,2243.0,1.0,43.20304382526225,155.41385993881167,-1.25,0.992,0.99
2019,4,14,11,104,2483.0,49.0,39.65075942648459,105.1629639111471,-2.2299999999999613,0.99,0.988
2019,4,20,11,110,2627.0,1.0,37.64924911085973,151.7544346029458,10.310000000000002,0.986,0.986
2019,4,26,10,116,2770.0,-49.0,42.33883504857118,179.50848366922162,7.490000000000009,0.984,0.982
2019,5,3,10,123,2938.0,-43.0,40.59200704762892,171.4271228775428,7.010000000000048,0.986,0.984
2019,5,6,11,126,3011.0,1.0,32.966104018135056,147.93857085882033,9.230000000000018,0.986,0.984
2019,5,11,11,131,3131.0,29.0,31.73605883105545,118.78329754999757,15.750000000000057,0.986,0.986
2019,5,13,11,133,3179.0,11.0,31.278830563024748,136.33401091367713,16.29000000000002,0.984,0.984
2019,5,14,11,134,3203.0,58.0,31.05789887271761,89.1127970199351,14.590000000000032,0.982,0.976
2019,5,16,11,136,3251.0,49.0,30.63166015912968,97.67812214445254,20.99000000000001,0.982,0.982
2019,5,26,10,146,3490.0,-36.0,36.36605926440591,158.61167322289924,21.870000000000005,0.986,0.986
2019,6,13,10,164,3922.0,-49.0,34.840162660772165,169.15812009583976,15.610000000000014,0.984,0.982
2019,6,19,11,170,4067.0,37.0,26.8317651260319,105.25530615904734,18.350000000000023,0.986,0.986
2019,6,26,11,177,4235.0,43.0,26.894625335844896,99.33793745589958,17.650000000000034,0.986,0.984
2019,7,3,11,184,4403.0,49.0,27.249789223692318,93.79794961953473,17.450000000000045,0.984,0.982
2019,7,5,11,186,4451.0,37.0,27.404687636845512,105.99501605850745,21.970000000000027,0.986,0.986
2019,7,10,11,191,4571.0,53.0,27.89496641407191,90.60511555473735,21.890000000000043,0.982,0.982
2019,7,12,11,193,4619.0,43.0,28.131980195521034,100.8928905535164,23.170000000000016,0.986,0.984
2019,7,22,10,203,4858.0,-44.0,37.07439108251121,167.67832601657915,19.210000000000036,0.984,0.984
2019,7,23,11,204,4883.0,21.0,29.84403380117748,124.84606641151967,16.83000000000004,0.986,0.986
2019,7,27,10,208,4978.0,-20.0,37.902328971051425,144.87360111749706,22.730000000000018,0.984,0.984
2019,7,30,11,211,5051.0,29.0,31.280055307878484,118.33522961983661,16.57000000000005,0.986,0.984
2019,8,4,11,216,5171.0,49.0,32.460836779443895,99.47306207448443,21.930000000000007,0.984,0.982
2019,8,6,11,218,5219.0,37.0,32.96751816917683,111.93985676346912,20.310000000000002,0.986,0.986
2019,8,7,10,219,5242.0,-43.0,40.1308585841633,170.85004511464126,21.99000000000001,0.986,0.984
2019,8,8,11,220,5267.0,20.0,33.49308028856011,129.41141829131905,19.850000000000023,0.986,0.986
2019,8,9,10,221,5290.0,-54.0,40.593296940492145,182.42871997380493,17.350000000000023,0.982,0.98
2019,8,10,11,222,5315.0,1.0,34.036975355180296,148.8865720276984,22.53000000000003,0.986,0.986
2019,8,14,10,226,5410.0,-37.0,41.82142472405729,166.90835835112264,14.07000000000005,0.988,0.986
2019,8,21,10,233,5578.0,-29.0,43.701910319003474,161.02925694756826,18.190000000000055,0.986,0.986
2019,8,23,10,235,5626.0,-43.0,44.2708794573361,175.63995581295114,16.350000000000023,0.984,0.984
2019,8,29,11,241,5771.0,43.0,39.99677970488152,111.39540812250723,15.130000000000052,0.982,0.984
2019,9,14,11,257,6155.0,43.0,45.80431151881954,114.89493509946067,13.950000000000045,0.984,0.984
2019,9,18,11,261,6251.0,11.0,47.31407685528482,147.6994396040115,20.350000000000023,0.986,0.986
2019,9,20,11,263,6299.0,-10.0,48.07265474271705,169.08975472206623,20.250000000000057,0.986,0.986
2019,9,25,11,268,6419.0,20.0,49.97242778931453,140.0293515922231,15.310000000000002,0.986,0.986
2019,9,28,10,271,6490.0,-62.0,56.03172285044697,204.94720340142212,10.270000000000039,0.98,0.98
2019,10,27,11,300,7187.0,21.0,61.354135082772245,143.7346188051147,3.57000000000005,0.982,0.984
2019,10,29,11,302,7235.0,1.0,61.971559801281,163.9521371249695,-1.3099999999999454,0.986,0.984
2019,11,14,11,318,7619.0,1.0,66.27201757136575,165.37741082223945,-7.069999999999993,0.986,0.986
2019,11,16,10,320,7666.0,-20.0,70.41300875910493,171.84270511989047,-2.829999999999984,0.984,0.984
2019,12,2,10,336,8050.0,-20.0,72.97578584499195,173.15437618817973,-6.189999999999998,0.992,0.99
2019,12,15,10,349,8362.0,-54.0,73.95043563945814,207.63599435502806,-17.089999999999975,0.994,0.99
2019,12,18,10,352,8434.0,-20.0,74.02609412241404,173.67300044807357,-18.66999999999996,0.988,0.986
2019,12,21,11,355,8507.0,29.0,70.60667237966878,138.668077333971,-3.329999999999984,0.986,0.986
2020,1,6,11,6,131.0,29.0,69.69587851766191,138.4082293018747,-6.769999999999982,0.992,0.99
2020,1,7,12,7,156.0,64.0,68.63740721967439,118.18661382796685,-8.169999999999959,0.98,0.98
2020,1,11,11,11,251.0,48.0,69.0675284861587,119.22552781360403,-12.789999999999964,0.984,0.982
2020,2,5,11,36,851.0,44.0,63.72295281277259,121.55110945152191,-9.009999999999991,0.992,0.99
2020,2,6,10,37,874.0,-36.0,67.36461763080213,186.19001253469224,-7.309999999999945,0.994,0.99
2020,2,17,12,48,1140.0,61.0,58.75950699794908,120.22767417652435,-3.7899999999999636,0.986,0.984
2020,2,20,10,51,1210.0,-18.0,63.326836505384364,165.82681426988563,-14.889999999999986,0.992,0.99
2020,2,23,11,54,1283.0,30.0,58.05206504001675,133.51162150988173,3.090000000000032,0.992,0.99
2020,3,1,11,61,1451.0,38.0,55.570006466321686,124.52125047800524,1.5300000000000296,0.992,0.99
2020,3,4,12,64,1524.0,61.0,52.89371158684113,119.47754191684919,-1.1299999999999955,0.98,0.98
2020,3,7,10,67,1594.0,-18.0,58.084311315239226,162.41050734798054,2.090000000000032,0.992,0.99
2020,3,8,11,68,1619.0,44.0,52.98955553901554,117.42008207281592,6.810000000000002,0.994,0.99
2020,3,15,11,75,1787.0,49.0,50.349940776954824,111.20993469339598,-0.92999999999995,0.992,0.99
2020,3,17,11,77,1835.0,37.0,49.59047727770181,122.84462960624165,-1.669999999999959,0.994,0.99
2020,3,26,11,86,2051.0,30.0,46.17847655645015,128.09787118985724,2.9700000000000273,0.994,0.99
2020,3,27,10,87,2074.0,-49.0,51.23279847555897,188.19031371147634,3.670000000000016,0.986,0.982
2020,3,30,11,90,2147.0,-9.0,44.68003794165924,166.27033286427252,1.7500000000000568,0.994,0.99
2020,4,2,11,93,2219.0,37.0,43.569888663714586,119.63056921919164,5.810000000000002,0.992,0.99
2020,4,8,10,99,2362.0,-19.0,47.29565830356794,154.67745671948947,8.330000000000041,0.986,0.984
2020,4,11,11,102,2435.0,30.0,40.34175881274558,124.62412292617205,9.07000000000005,0.986,0.984
2020,4,21,10,112,2674.0,-54.0,43.42096808382968,185.72263276479575,-2.2299999999999613,0.98,0.982
2020,4,22,11,113,2699.0,1.0,36.69350413425411,151.03984446076205,3.7900000000000205,0.986,0.986
2020,4,23,11,114,2723.0,53.0,36.382210300540166,98.80069445930565,6.350000000000023,0.982,0.98
2020,5,1,11,122,2915.0,-10.0,34.03546076280701,159.88526640077018,8.690000000000055,0.982,0.984
2020,5,3,10,124,2962.0,-29.0,40.35869900465336,157.13669517420843,10.930000000000007,0.984,0.984
2020,5,7,10,128,3058.0,-54.0,39.468196211998084,180.9986965743716,9.630000000000052,0.982,0.98
2020,6,11,10,163,3898.0,-20.0,34.88261673100608,140.22952972781343,16.730000000000018,0.986,0.984
2020,6,21,11,173,4139.0,36.0,26.82284845645728,106.24355484456302,20.210000000000036,0.986,0.986
2020,6,24,12,176,4212.0,61.0,22.942191453973532,113.0528938848114,16.650000000000034,0.98,0.98
2020,6,26,10,178,4258.0,-63.0,34.7704030058862,183.040363189005,17.170000000000016,0.98,0.976
2020,6,28,11,180,4307.0,43.0,27.011131612892957,99.49011215316688,23.310000000000002,0.986,0.984
2020,7,3,11,185,4427.0,57.0,27.324282214253426,85.89298667608625,27.05000000000001,0.982,0.978
2020,7,10,10,192,4594.0,-55.0,35.679288145472704,176.53522100323818,19.210000000000036,0.984,0.98
2020,7,11,11,193,4619.0,1.0,28.131980195521034,142.8928905535164,18.410000000000025,0.982,0.984
2020,7,12,11,194,4643.0,53.0,28.259179849818253,91.04547558608508,15.350000000000023,0.984,0.98
2020,7,28,11,210,5027.0,53.0,31.059095313067786,94.11400239357371,17.010000000000048,0.984,0.98
2020,7,29,10,211,5050.0,-20.0,38.45563434256688,145.6437767433738,18.29000000000002,0.986,0.986
2020,7,30,11,212,5075.0,43.0,31.506154616584617,104.55880072180267,21.470000000000027,0.984,0.984
2020,7,31,10,213,5098.0,-37.0,38.84757148300173,163.17632251601935,18.310000000000002,0.982,0.984
2020,8,1,11,214,5123.0,29.0,31.973553465652454,119.01227522713305,24.250000000000057,0.986,0.986
2020,8,4,11,217,5195.0,57.0,32.71178432870864,91.70578752940455,14.770000000000039,0.982,0.98
2020,8,5,11,218,5219.0,-10.0,32.96751816917683,158.93985676346912,21.49000000000001,0.986,0.986
2020,8,6,11,219,5243.0,48.0,33.227972667923744,101.17511666787115,18.690000000000055,0.984,0.982
2020,8,13,10,226,5410.0,-63.0,41.82142472405729,192.90835835112264,18.870000000000005,0.98,0.976
2020,8,17,11,230,5507.0,29.0,36.38390570309764,122.80200577219267,14.430000000000007,0.984,0.984
2020,8,18,10,231,5530.0,-49.0,43.14654430607691,180.41978101034593,18.83000000000004,0.984,0.982
2020,8,27,10,240,5746.0,-55.0,45.74872204765879,189.16571861783765,20.250000000000057,0.982,0.98
2020,8,30,10,243,5818.0,-20.0,46.670120943494865,155.0760514992248,16.710000000000036,0.986,0.986
2020,9,6,11,250,5987.0,-10.0,43.205049088670734,166.4150519091988,13.690000000000055,0.986,0.986
2020,9,10,10,254,6082.0,-44.0,50.22728004083858,182.33445203494296,11.650000000000034,0.986,0.984
2020,9,17,10,261,6250.0,-37.0,52.59408331707436,177.30859647538168,10.170000000000016,0.984,0.986
2020,9,19,12,263,6300.0,64.0,46.131587591017684,115.44688807160679,9.330000000000041,0.98,0.978
2020,10,5,10,279,6682.0,-49.0,58.76434567129997,193.87862456764523,9.610000000000014,0.984,0.982
2020,10,27,11,301,7211.0,36.0,61.6648065289268,128.84449114910413,-3.169999999999959,0.984,0.984
2020,10,30,10,304,7282.0,-54.0,66.5590154499954,203.73512364026962,1.0300000000000296,0.982,0.98
2020,11,6,12,311,7452.0,64.0,63.41286020322888,117.72750349965449,14.110000000000014,0.98,0.976
2020,12,5,11,340,8147.0,43.0,69.90283230344534,124.46778645854724,-7.92999999999995,0.982,0.984
2020,12,16,11,351,8411.0,20.0,70.56630020883894,147.65668242209563,-6.809999999999945,0.99,0.988
2021,1,5,10,5,106.0,-19.0,73.29200641281808,172.3116397487604,-6.849999999999966,0.988,0.986
2021,1,13,11,13,299.0,49.0,68.77210792389603,118.13864586069883,-3.25,0.992,0.99
2021,1,25,12,25,588.0,64.0,65.4435459197834,117.91887400687031,-9.75,0.98,0.976
2021,2,10,12,41,972.0,64.0,61.05388356017129,117.48473274350496,-18.94999999999996,0.98,0.982
2021,2,11,11,42,995.0,11.0,61.96988987590207,153.95155336139825,-19.509999999999962,0.992,0.99
2021,2,12,11,43,1019.0,57.0,61.66311487089651,107.84389520307249,-19.129999999999967,0.98,0.982
2021,2,18,11,49,1163.0,20.0,59.74365353780511,144.15100146718683,-9.649999999999977,0.982,0.984
2021,2,20,11,51,1211.0,1.0,59.07622785238152,162.90203819749573,-9.96999999999997,0.992,0.99
2021,2,22,10,53,1258.0,-20.0,62.70042630488361,167.44060590872516,-2.6299999999999955,0.992,0.99
2021,3,4,11,63,1499.0,37.0,54.8410785990902,125.21788935032163,-1.5499999999999545,0.992,0.99
2021,3,9,11,68,1619.0,53.0,52.98955553901554,108.42008207281592,6.470000000000027,0.992,0.99
2021,3,13,11,72,1715.0,29.0,51.48589690704091,131.7417227237395,5.830000000000041,0.988,0.986
2021,3,20,11,79,1883.0,37.0,48.83037711718486,122.47083808965823,6.7900000000000205,0.984,0.984
2021,3,21,10,80,1906.0,-43.0,53.620281211875515,184.12285768665177,1.3900000000000432,0.986,0.986
2021,3,22,11,81,1931.0,21.0,48.07057442490838,138.08869652790622,8.770000000000039,0.984,0.984
2021,3,29,11,88,2099.0,29.0,45.427029002461204,128.68784914732,5.250000000000057,0.984,0.984
2021,4,6,10,96,2290.0,-43.0,48.25419966350872,179.57444940244298,16.230000000000018,0.984,0.984
2021,4,7,11,97,2315.0,20.0,42.11367230178992,135.75392591843055,13.450000000000045,0.986,0.986
2021,4,18,11,108,2579.0,-9.0,38.30371629692593,162.22754440402255,13.970000000000027,0.986,0.986
2021,4,25,11,115,2747.0,1.0,36.07470871922099,150.56122892886472,8.330000000000041,0.986,0.986
2021,5,5,11,125,2987.0,49.0,33.226532833521254,100.17382464891034,8.230000000000018,0.982,0.982
2021,5,9,11,129,3083.0,21.0,32.21340427917286,127.24057507935234,12.57000000000005,0.986,0.986
2021,5,13,10,133,3178.0,-19.0,38.45458574825283,144.64233777029028,16.250000000000057,0.984,0.984
2021,5,16,11,136,3251.0,29.0,30.63166015912968,117.67812214445254,20.79000000000002,0.986,0.986
2021,5,31,10,151,3610.0,-37.0,35.78095169411216,158.69733157972058,13.07000000000005,0.986,0.986
2021,6,10,11,161,3851.0,21.0,27.1808595268203,121.70956875585193,26.670000000000016,0.986,0.986
2021,6,15,11,166,3971.0,43.0,26.927301549697436,99.38074485061853,20.670000000000016,0.984,0.984
2021,7,5,11,186,4451.0,11.0,27.404687636845512,131.99501605850745,22.77000000000004,0.986,0.984
2021,7,13,10,194,4642.0,-54.0,35.88871158992841,175.8680950127856,21.230000000000018,0.982,0.98
2021,7,18,10,199,4762.0,-37.0,36.49855592621992,159.8144527124866,23.610000000000014,0.986,0.986
2021,7,22,11,203,4859.0,57.0,29.660394522038427,88.64639942479579,19.470000000000027,0.982,0.976
2021,7,24,11,205,4907.0,49.0,30.033135179339347,97.04938121227758,20.450000000000045,0.982,0.984
2021,7,26,11,207,4955.0,37.0,30.427561046798825,109.46618682244818,25.610000000000014,0.986,0.986
2021,7,27,10,208,4978.0,-43.0,37.902328971051425,167.87360111749706,19.53000000000003,0.988,0.986
2021,7,28,11,209,5003.0,21.0,30.843326598337,125.89529788481084,24.890000000000043,0.986,0.984
2021,7,30,11,211,5051.0,1.0,31.280055307878484,146.3352296198366,20.010000000000048,0.986,0.986
2021,7,31,11,212,5075.0,53.0,31.506154616584617,94.55880072180267,21.77000000000004,0.982,0.98
2021,8,1,10,213,5098.0,-20.0,38.84757148300173,146.17632251601935,16.690000000000055,0.986,0.986
2021,8,3,10,215,5146.0,-37.0,39.257635605927845,163.72248175554193,22.230000000000018,0.986,0.984
2021,8,11,11,223,5339.0,37.0,34.3156184027286,113.12514749009236,21.57000000000005,0.986,0.986
2021,8,18,11,230,5507.0,43.0,36.38390570309764,108.80200577219267,24.53000000000003,0.986,0.984
2021,8,19,10,231,5530.0,-37.0,43.14654430607691,168.41978101034593,23.29000000000002,0.986,0.986
2021,8,21,10,233,5578.0,-49.0,43.701910319003474,181.02925694756826,21.470000000000027,0.984,0.982
2021,8,23,10,235,5626.0,-59.0,44.2708794573361,191.63995581295114,22.410000000000025,0.982,0.978
2021,8,28,10,240,5746.0,-43.0,45.74872204765879,177.16571861783765,17.05000000000001,0.984,0.984
2021,9,5,11,248,5939.0,29.0,42.476810622036304,126.97670512827364,16.170000000000016,0.986,0.986
2021,9,9,10,252,6034.0,-10.0,49.56306912836721,147.75431561784887,16.53000000000003,0.984,0.984
2021,9,10,11,253,6059.0,49.0,44.31052924217166,108.06000630894707,17.370000000000005,0.984,0.982
2021,9,25,10,268,6418.0,-9.0,54.99874726334607,151.1803715425329,12.250000000000057,0.986,0.986
2021,10,2,11,275,6587.0,1.0,52.61721798640685,160.25472861097967,20.390000000000043,0.986,0.986
2021,10,5,11,278,6659.0,43.0,53.73663184301815,118.74681449196203,16.79000000000002,0.984,0.984
2021,10,11,10,284,6802.0,-9.0,60.43687994937397,154.99695412264106,8.650000000000034,0.986,0.986
2021,10,16,11,289,6923.0,21.0,57.706873484313505,142.3776921273435,8.990000000000009,0.986,0.984
2021,11,15,11,319,7643.0,37.0,66.49849286261869,129.44832538513376,-1.4099999999999682,0.986,0.986
2021,11,17,11,321,7691.0,21.0,66.93504560705661,145.58390222310945,1.0900000000000318,0.986,0.986
2021,11,26,11,330,7907.0,11.0,68.61600773733709,156.0924808627178,-8.089999999999975,0.986,0.984
2021,12,7,10,341,8170.0,-19.0,73.473467891798,172.40144629865898,-17.94999999999996,0.994,0.99
2021,12,12,11,346,8291.0,11.0,70.36454596655351,156.59956765462448,-3.5299999999999727,0.988,0.988
2021,12,26,11,360,8627.0,29.0,70.50551314083788,138.63950406148757,-7.449999999999989,0.984,0.984
2021,12,29,11,363,8699.0,58.0,70.36423310659949,109.59947886601068,-12.309999999999945,0.98,0.98
